file_name, file_size, run, time (ns)
files/file_10.txt, 10, 1, 42507141, 
files/file_10.txt, 10, 2, 11196833, 
files/file_10.txt, 10, 3, 10729354, 
files/file_10.txt, 10, 4, 12951899, 
files/file_10.txt, 10, 5, 11678958, 
files/file_10.txt, 10, 6, 11453495, 
files/file_10.txt, 10, 7, 11397209, 
files/file_10.txt, 10, 8, 12317874, 
files/file_10.txt, 10, 9, 14009853, 
files/file_10.txt, 10, 10, 10808321, 
files/file_100.txt, 100, 1, 12487837, 
files/file_100.txt, 100, 2, 12273143, 
files/file_100.txt, 100, 3, 12284558, 
files/file_100.txt, 100, 4, 10985226, 
files/file_100.txt, 100, 5, 11389762, 
files/file_100.txt, 100, 6, 14669623, 
files/file_100.txt, 100, 7, 10671363, 
files/file_100.txt, 100, 8, 11601090, 
files/file_100.txt, 100, 9, 10920962, 
files/file_100.txt, 100, 10, 11979625, 
files/file_1000.txt, 1000, 1, 12941793, 
files/file_1000.txt, 1000, 2, 21531956, 
files/file_1000.txt, 1000, 3, 11585857, 
files/file_1000.txt, 1000, 4, 13455115, 
files/file_1000.txt, 1000, 5, 17839736, 
files/file_1000.txt, 1000, 6, 10845763, 
files/file_1000.txt, 1000, 7, 10774310, 
files/file_1000.txt, 1000, 8, 12750717, 
files/file_1000.txt, 1000, 9, 10975017, 
files/file_1000.txt, 1000, 10, 11023158, 
files/file_10000.txt, 10000, 1, 17179156, 
files/file_10000.txt, 10000, 2, 18010896, 
files/file_10000.txt, 10000, 3, 119159037, 
files/file_10000.txt, 10000, 4, 14954012, 
files/file_10000.txt, 10000, 5, 115448962, 
files/file_10000.txt, 10000, 6, 13229051, 
files/file_10000.txt, 10000, 7, 15280823, 
files/file_10000.txt, 10000, 8, 112220645, 
files/file_10000.txt, 10000, 9, 13338524, 
files/file_10000.txt, 10000, 10, 11708876, 
files/file_100000.txt, 100000, 1, 228257573, 
files/file_100000.txt, 100000, 2, 136504688, 
files/file_100000.txt, 100000, 3, 124143541, 
files/file_100000.txt, 100000, 4, 120402476, 
files/file_100000.txt, 100000, 5, 126925911, 
files/file_100000.txt, 100000, 6, 119642707, 
files/file_100000.txt, 100000, 7, 120001271, 
files/file_100000.txt, 100000, 8, 122395848, 
files/file_100000.txt, 100000, 9, 120676860, 
files/file_100000.txt, 100000, 10, 123138795, 
files/file_1000000.txt, 1000000, 1, 790638389, 
files/file_1000000.txt, 1000000, 2, 1250094616, 
files/file_1000000.txt, 1000000, 3, 1093854179, 
files/file_1000000.txt, 1000000, 4, 1295343655, 
files/file_1000000.txt, 1000000, 5, 1488026842, 
files/file_1000000.txt, 1000000, 6, 1365239281, 
files/file_1000000.txt, 1000000, 7, 1175911760, 
files/file_1000000.txt, 1000000, 8, 998988647, 
files/file_1000000.txt, 1000000, 9, 876614004, 
files/file_1000000.txt, 1000000, 10, 977499003, 
files/file_10000000.txt, 10000000, 1, 11286176162, 
files/file_10000000.txt, 10000000, 2, 10296124003, 
files/file_10000000.txt, 10000000, 3, 9252868260, 
files/file_10000000.txt, 10000000, 4, 11038447719, 
files/file_10000000.txt, 10000000, 5, 11621767293, 
files/file_10000000.txt, 10000000, 6, 10188802592, 
files/file_10000000.txt, 10000000, 7, 11036089921, 
files/file_10000000.txt, 10000000, 8, 10153797599, 
files/file_10000000.txt, 10000000, 9, 11553072825, 
files/file_10000000.txt, 10000000, 10, 10775791085, 
